ins_name,num_vehi,diff_b,diff_t,diff_d,diff_c,total_b,total_t,total_d,total_c,dis_b,dis_t,dis_d,dis_c,relative_gap_b,relative_gap_t,relative_gap_d,relative_gap_c,solve_time_b,solve_time_t,solve_time_d,solve_time_c
R106-25,3,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,1.0,1.0,1.0,1.0,3600.0,3600.0,3600.0,3600.0
R107-25,4,Inf,Inf,180.60000000002407,164.50000000000728,Inf,Inf,2776.899999999998,2662.200000000008,Inf,Inf,424.30000000000007,449.4,1.0,1.0,0.0,0.0,3600.0,3600.0,2467.35,87.85
R108-25,4,3.600000000002183,Inf,262.6999999999971,170.70000000000442,2635.499999999971,Inf,2709.2999999999884,2829.2999999999884,653.8,Inf,397.30000000000007,402.5,1.0,1.0,0.0,0.0,3602.09,3600.0,1336.98,6.7
R109-25,5,2.3999999340013654,170.79999999600295,433.5999999999922,360,2732.200000008975,2369.3999999979974,2883.399999999896,2890.7999999999956,792.0,541.4000000000001,441.30000000000007,441.3,1.0,0.096,0.0,0.0,3601.8,3613.61,103.62,0.98
R110-25,4,Inf,Inf,Inf,185.00000000000009,Inf,Inf,Inf,3050.400000000005,Inf,Inf,Inf,461.8,1.0,1.0,1.0,0.0,3600.0,3600.0,3600.0,3487.41
R111-25,5,1.7999999369998076,248.7999999999883,551.2000000000262,275.5999999999985,2856.700000015004,2375.3999999969797,2834.500000000022,2796.2999999999956,764.1000000000001,660.1,430.10000000000014,430.1000000000001,1.0,0.218,0.0,0.0,3601.91,3628.95,339.39,7.52
R112-25,4,Inf,Inf,132.0000000000109,178.60000000000227,Inf,Inf,2977.8999999999796,2782.800000000003,Inf,Inf,393.0,398.2,1.0,1.0,0.049,0.0,3600.0,3600.0,3601.33,26.32
R201-25,4,253.20000000000073,420,1324.5,1324.5,10953.8,10379,11187.800000000032,11328.60000000001,879.6,836.1999999999999,463.3000000000001,463.3,0.0,0.0,0.0,0.0,151.21,158.26,10.0,0.23
R202-25,4,23.499999985998784,431,1783.7000000000007,1648.7000000000007,14035.799999997009,8267.5,12580,10746.8,971.1,869.6000000000001,410.5000000000001,414.3,1.0,0.0,0.0,0.0,3601.41,549.93,94.76,1.13
R203-25,3,0.19999997999727998,278,744.9999999999998,280.00000000001864,13930.000000016003,6482.399999999987,12971.8,12827.900000000012,912.7,740.8,391.40000000000003,462.6000000000001,1.0,0.068,0.0,0.0,3600.81,3606.91,1615.44,1418.23
R204-25,2,0,127,1.0000000000001137,21.200000000000728,13048.499999999993,5354.199999940965,13336.700000000004,9547,908.6999999999999,555.0000000000002,355.00000000000006,410.79999999999995,0.0,0.269,0.0,0.0,157.74,3608.03,526.37,98.77
R205-25,3,1.1999999750045982,116,442.00000000001455,75.80000000000291,11205.900000012003,8814,10652.80000000001,10522.999999999993,890.1999999999999,763.0000000000001,393.00000000000006,452.2,1.0,0.0,0.0,0.0,3600.92,59.39,17.82,4.88
R206-25,3,0.3999999870015715,154,756.4000000000015,516,12099.699999984983,7160.999999999996,12668.40000000001,12904.399999999976,942.7999999999998,739.2,374.4000000000001,431.70000000000005,1.0,0.0,0.0,0.0,3601.97,792.35,248.46,52.49
R207-25,3,0.5999999890059265,767.9999999999997,756.4000000000015,405.9999999999998,11403.699999993003,5648.799999999976,13325.099999999999,13511.400000000005,811.4999999999999,610.0,361.6000000000001,426.59999999999997,1.0,0.083,0.0,0.0,3602.28,3602.53,86.23,249.58
R208-25,2,0,77,96,98.99999999999977,15022.199999999975,4954.699999999553,12064.400000000009,14312.499999999953,922.4000000000001,581.3000000000002,334.6,404.70000000000005,0.0,0.327,0.0,0.0,369.12,3604.31,41.69,107.81
R209-25,2,0,3,3,67.29999999999939,11660.59999999998,7737.8,11229.500000000015,11450.300000000007,811.0999999999999,706.6,370.7,431.30000000000007,0.0,0.0,0.0,0.0,19.52,631.73,118.22,10.11
R210-25,3,0.20000000000436557,306,266.9999999999998,214.40000000000146,13095.000000000033,7694.4000000000015,12536.500000000018,12805.19999999999,920.1999999999999,805.5,404.6,459.70000000000005,1.0,0.0,0.0,0.0,3603.61,132.78,196.22,59.52
R211-25,2,0,4.599999999998431,278.8000000000029,157.9999999999891,10038.799999999992,6617.600000000095,13877.800000000003,12278.799999999934,811.1,652.1,350.9,396.5999999999999,0.0,0.063,0.0,0.0,840.82,3601.86,363.64,67.89
RC101-25,4,43.499999952014996,57.799999999995606,90,83.09999999999854,2888.8000000069956,2809.399999999994,3032.100000000006,3031.30000000001,535.2000000000002,494.30000000000007,461.10000000000014,471.30000000000007,0.0,0.0,0.0,0.0,317.58,179.29,41.7,0.97
RC102-25,3,3.399999982994327,54.80000000000291,23.799999999995634,44,2812.9999999959964,2332.2000000000044,3174.599999999995,2933.0999999999985,411.29999999999995,369.4,351.79999999999995,351.8,1.0,0.0,0.0,0.0,3601.88,2957.02,53.41,2.88
RC103-25,3,Inf,44.19999999999715,10.000000000000057,10,Inf,1885.5999999999985,3044.69999999999,3115.399999999954,Inf,355.5,332.80000000000007,332.8,1.0,0.168,0.0,0.0,3600.0,3603.5,2546.52,44.05
RC104-25,3,Inf,94,54.80000000000291,64,Inf,1969.5999999689654,2396.300000000064,2657.799999996003,Inf,398.00000000000006,299.70000000000005,299.70000000000005,1.0,0.445,0.0,0.0,3600.0,3601.14,186.72,2.75
RC105-25,4,3.8999999820016917,73.00000000000009,240,234.20000000000437,3060.2000000069897,2528.9999999999927,2898.0000000000073,2831.3000000000034,519.0999999999999,466.9,411.29999999999995,411.30000000000007,1.0,0.0,0.0,0.0,3601.93,1476.67,184.19,5.22
RC106-25,3,0,12.999999999992724,44,23.19999999999709,2828.5999999999804,2672.899999999965,3037.7000000000153,2834.4000000000015,395.40000000000003,358.10000000000014,345.5,345.50000000000006,0.0,0.103,0.0,0.0,864.09,3601.46,112.76,2.5
RC107-25,3,Inf,Inf,91.40000000000146,102,Inf,Inf,2840.9999999999927,2844.6999999939753,Inf,Inf,298.30000000000007,298.3,1.0,1.0,0.0,0.0,3600.0,3600.0,101.97,5.54
RC108-25,3,Inf,Inf,66,97.80000000041736,Inf,Inf,3143.4999999999964,2990.2999999993044,Inf,Inf,294.5,294.5,1.0,1.0,0.0,0.0,3600.0,3600.0,135.66,8.45
RC201-25,3,2.599999972997889,221.99999999999977,402,428,11308.79999997298,9828,10617.700000000023,11073.400000000034,1108.3999999999999,812.4999999999999,360.20000000000005,360.20000000000005,0.0,0.0,0.0,0.0,47.4,2.84,3.41,0.21
